Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6
ABHD5	1428.0	4808.0	3564.0	3992.0	3711.0	3738.0
ABHD6	594.0	1502.0	1340.0	973.0	795.0	921.0
ABHD8	822.0	2702.0	2022.0	2185.0	1682.0	1799.0
ABI1	1806.0	4251.0	4029.0	3842.0	4036.0	3570.0
ABI2	14.0	4609.0	15.0	1769.0	343.0	1465.0
ABI3BP	5804.0	11684.0	9145.0	3344.0	4019.0	3622.0
ABITRAM	1414.0	3876.0	2972.0	2073.0	1815.0	1667.0
ABL1	4010.0	9621.0	7554.0	6168.0	5346.0	5884.0
ABL2	2109.0	6284.0	5231.0	2863.0	3123.0	2408.0
ABLIM1	82.0	130.0	9517.0	664.0	6649.0	5943.0
ABLIM3	6643.0	20842.0	16561.0	1775.0	9375.0	9451.0
ABRACL	556.0	1527.0	1212.0	1318.0	1207.0	1388.0
ABRAXAS1	991.0	2751.0	1785.0	1657.0	0.0	13.0
ABRAXAS2	982.0	2632.0	2190.0	789.0	923.0	818.0
ABR_KI270862.1_42766_231794	919.0	2468.0	1358.0	1935.0	1094.0	1345.0
ABR_KI270910.1_42766_155453	913.0	2479.0	1897.0	1916.0	847.0	1810.0
ABR_chr17_1003518_1229738	893.0	2135.0	1744.0	1871.0	1611.0	1325.0
ABT1	884.0	2183.0	1624.0	2405.0	1913.0	2047.0
ABTB1	515.0	1544.0	1159.0	1039.0	836.0	910.0
ABTB2	1162.0	3441.0	2698.0	3159.0	2715.0	2802.0
AC000041.1	1.0	1.0	1.0	1.0	1.0	1.0
AC000068.2	1.0	1.0	1.0	1.0	1.0	1.0
AC000068.3	9.0	29.0	37.0	18.0	30.0	23.0
AC000078.1	2.0	7.0	7.0	5.0	4.0	6.0
AC000089.1	60.0	135.0	83.0	100.0	97.0	108.0
AC000120.2	1.0	1.0	1.0	3.0	3.0	1.0
AC000120.4	394.0	1367.0	840.0	314.0	18.0	53.0
AC000123.2	12.0	30.0	59.0	43.0	31.0	17.0
AC000123.3	108.0	278.0	401.0	199.0	266.0	136.0
AC000403.1	4.0	18.0	16.0	11.0	6.0	12.0
AC001226.2	65.0	57.0	53.0	282.0	89.0	123.0
AC001228.3	5.0	8.0	11.0	8.0	12.0	12.0
AC002056.1	15.0	43.0	28.0	34.0	33.0	31.0
AC002056.3	15.0	43.0	28.0	34.0	33.0	31.0
AC002059.1	1.0	2.0	3.0	0.0	0.0	2.0
AC002059.2	4.0	2.0	7.0	4.0	2.0	4.0
AC002075.2	10.0	17.0	10.0	18.0	13.0	22.0
AC002094.1	63.0	0.0	115.0	0.0	0.0	79.0
AC002310.1	34.0	125.0	111.0	0.0	56.0	63.0
AC002310.4	59.0	0.0	0.0	0.0	0.0	0.0
AC002310.5	21.0	182.0	206.0	120.0	104.0	138.0
AC002350.2	12.0	56.0	57.0	28.0	95.0	30.0
AC002378.1	9.0	0.0	29.0	16.0	0.0	0.0
AC002401.4	3.0	11.0	12.0	8.0	5.0	5.0
AC002456.1	24.0	70.0	73.0	25.0	62.0	56.0
AC002467.1	62.0	267.0	170.0	141.0	99.0	117.0
AC002470.1	3.0	8.0	6.0	0.0	4.0	0.0
AC002470.2	13.0	32.0	58.0	32.0	76.0	55.0
AC002519.2	3.0	4.0	1.0	5.0	3.0	9.0
AC002524.1	46.0	108.0	86.0	75.0	66.0	77.0
AC002542.4	3.0	1.0	1.0	4.0	3.0	0.0
AC002542.5	1.0	6.0	1.0	6.0	9.0	5.0
AC002550.1	58.0	76.0	60.0	87.0	83.0	115.0
AC002550.2	8.0	12.0	14.0	13.0	12.0	19.0
AC002553.1	6.0	5.0	19.0	36.0	21.0	6.0
AC002553.2	6.0	10.0	24.0	4.0	9.0	11.0
AC002558.1	3.0	6.0	2.0	3.0	9.0	5.0
AC002985.1	347.0	84.0	4.0	7.0	2.0	5.0
AC003002.1	1.0	7.0	5.0	3.0	2.0	3.0
AC003002.2	236.0	139.0	312.0	297.0	402.0	106.0
AC003002.3	1.0	2.0	8.0	10.0	3.0	4.0
AC003005.1	670.0	1191.0	1347.0	741.0	848.0	567.0
AC003006.1	66.0	0.0	54.0	35.0	140.0	115.0
AC003042.1	1.0	10.0	2.0	6.0	2.0	1.0
AC003042.2	3.0	6.0	9.0	3.0	2.0	5.0
AC003101.2	2.0	7.0	3.0	2.0	3.0	6.0
AC003102.1	47.0	96.0	125.0	75.0	50.0	46.0
AC003688.2	1.0	2.0	2.0	1.0	1.0	3.0
AC003688.5	10.0	124.0	145.0	57.0	48.0	16.0
AC003957.1	3.0	0.0	0.0	1.0	1.0	1.0
AC003965.1	2.0	0.0	6.0	0.0	5.0	6.0
AC003965.3	2.0	0.0	6.0	0.0	5.0	6.0
AC003991.1	2.0	0.0	0.0	0.0	0.0	0.0
AC003992.1	2.0	1.0	2.0	0.0	1.0	0.0
AC004039.1	5.0	3.0	8.0	4.0	3.0	2.0
AC004057.1	1027.0	2593.0	1817.0	2018.0	1857.0	1841.0
AC004067.1	5.0	9.0	6.0	7.0	14.0	1.0
AC004076.1	2.0	20.0	8.0	2.0	11.0	1.0
AC004080.10	1.0	1.0	6.0	1.0	1.0	1.0
AC004080.8	1.0	1.0	1.0	1.0	1.0	1.0
AC004080.9	1.0	1.0	1.0	1.0	1.0	1.0
AC004129.2	1.0	0.0	0.0	4.0	0.0	0.0
AC004158.1	1.0	0.0	10.0	4.0	2.0	6.0
AC004223.3	337.0	1059.0	720.0	473.0	499.0	517.0
AC004232.2	2.0	7.0	10.0	17.0	13.0	5.0
AC004233.2	13.0	49.0	28.0	27.0	10.0	19.0
AC004233.3	2.0	2.0	2.0	3.0	2.0	2.0
AC004241.2	5.0	10.0	4.0	7.0	2.0	3.0
AC004241.5	8.0	28.0	13.0	4.0	14.0	20.0
AC004263.1	5.0	3.0	15.0	9.0	21.0	6.0
AC004264.1	3.0	88.0	28.0	27.0	20.0	6.0
AC004383.1	6.0	8.0	7.0	8.0	2.0	9.0
AC004386.6	9.0	14.0	9.0	11.0	7.0	6.0
AC004386.7	4.0	0.0	0.0	0.0	0.0	0.0
AC004449.1	4.0	10.0	7.0	4.0	3.0	3.0
AC004453.1	232.0	507.0	221.0	359.0	301.0	313.0
AC004466.1	25.0	0.0	1.0	14.0	2.0	13.0
AC004466.3	2.0	5.0	2.0	2.0	4.0	3.0
AC004470.2	1122.0	2568.0	2608.0	1734.0	1526.0	1631.0
AC004477.1	12.0	39.0	36.0	19.0	13.0	21.0
AC004477.3	15.0	25.0	18.0	8.0	16.0	6.0
AC004492.1	3.0	7.0	13.0	5.0	7.0	3.0
AC004492.2	3.0	7.0	13.0	5.0	7.0	3.0
AC004494.1	2.0	0.0	4.0	2.0	4.0	0.0
AC004552.1	343.0	888.0	602.0	686.0	673.0	678.0
AC004556.3	792.0	1927.0	1496.0	1449.0	1283.0	1381.0
AC004556.4	1.0	2.0	2.0	0.0	2.0	1.0
AC004593.1	2.0	3.0	2.0	0.0	0.0	2.0
AC004593.2	219.0	425.0	225.0	444.0	380.0	415.0
AC004596.1	3.0	12.0	15.0	12.0	7.0	38.0
AC004623.1	4.0	10.0	80.0	54.0	68.0	12.0
AC004678.1	1.0	7.0	17.0	13.0	7.0	3.0
AC004678.2	3.0	6.0	6.0	4.0	10.0	0.0
AC004692.1	3.0	2.0	0.0	3.0	1.0	1.0
AC004707.1	1.0	1.0	2.0	0.0	1.0	2.0
AC004789.1	6.0	16.0	49.0	29.0	43.0	11.0
AC004801.1	3.0	1.0	1.0	1.0	1.0	0.0
AC004801.2	8.0	38.0	31.0	15.0	9.0	13.0
AC004801.6	4.0	21.0	2.0	7.0	3.0	4.0
AC004808.2	5.0	9.0	9.0	2.0	5.0	6.0
AC004812.2	46.0	152.0	118.0	85.0	89.0	66.0
AC004816.1	49.0	234.0	177.0	76.0	130.0	194.0
AC004817.3	7.0	41.0	26.0	4.0	0.0	4.0
AC004825.2	4.0	13.0	12.0	5.0	11.0	4.0
AC004832.3	5.0	18.0	14.0	29.0	30.0	7.0
AC004832.5	2.0	6.0	4.0	3.0	5.0	2.0
AC004832.6	2.0	4.0	4.0	0.0	4.0	4.0
AC004835.1	174.0	398.0	371.0	163.0	232.0	128.0
AC004839.1	1.0	6.0	2.0	1.0	4.0	3.0
AC004839.2	3.0	2.0	0.0	2.0	2.0	1.0
AC004839.3	1.0	6.0	2.0	4.0	4.0	3.0
AC004839.4	2.0	1.0	0.0	1.0	2.0	0.0
AC004854.2	8.0	28.0	15.0	4.0	12.0	9.0
AC004864.1	1.0	1.0	1.0	1.0	1.0	1.0
AC004877.1	26.0	25.0	114.0	102.0	104.0	68.0
AC004877.2	10.0	10.0	21.0	13.0	6.0	8.0
AC004890.1	19.0	20.0	19.0	32.0	10.0	17.0
AC004908.1	7.0	37.0	39.0	16.0	11.0	9.0
AC004908.2	9.0	30.0	33.0	12.0	18.0	7.0
AC004908.3	4.0	8.0	7.0	4.0	3.0	8.0
AC004911.1	3.0	2.0	1.0	2.0	0.0	0.0
AC004912.1	1.0	0.0	2.0	0.0	0.0	0.0
AC004917.1	825.0	2306.0	1963.0	1979.0	1661.0	1883.0
AC004918.5	28.0	2.0	1.0	1.0	12.0	32.0
AC004922.1	7112.0	18559.0	14795.0	4248.0	4096.0	3048.0
AC004938.2	8.0	22.0	19.0	6.0	18.0	19.0
AC004943.2	22.0	14.0	0.0	0.0	0.0	0.0
AC004943.3	4.0	2.0	6.0	1.0	2.0	2.0
AC004947.2	1.0	0.0	6.0	3.0	2.0	6.0
AC004949.1	231.0	592.0	0.0	517.0	470.0	473.0
AC004980.2	13.0	23.0	31.0	23.0	18.0	18.0
AC004980.6	101.0	114.0	86.0	90.0	1.0	25.0
AC004980.7	13.0	23.0	31.0	23.0	18.0	18.0
AC004987.2	99.0	125.0	66.0	198.0	105.0	157.0
AC004990.1	5.0	0.0	15.0	0.0	0.0	0.0
AC004997.1	8.0	18.0	46.0	88.0	32.0	24.0
AC005000.1	185.0	511.0	355.0	408.0	395.0	342.0
AC005005.3	72.0	1.0	153.0	81.0	2.0	1.0
AC005020.1	2.0	5.0	9.0	3.0	7.0	2.0
AC005034.4	1.0	1.0	1.0	1.0	1.0	1.0
AC005046.2	29.0	75.0	80.0	82.0	66.0	65.0
AC005052.2	29.0	43.0	21.0	10.0	31.0	2.0
AC005064.1	49.0	179.0	53.0	40.0	31.0	32.0
AC005070.3	12.0	30.0	51.0	8.0	17.0	5.0
AC005076.3	3.0	1.0	3.0	0.0	1.0	0.0
AC005089.1	2.0	0.0	5.0	2.0	4.0	0.0
AC005099.1	1.0	9.0	6.0	7.0	1.0	6.0
AC005100.1	2.0	0.0	0.0	0.0	0.0	0.0
AC005104.2	4.0	3.0	3.0	5.0	0.0	1.0
AC005154.2	6.0	13.0	25.0	7.0	15.0	10.0
AC005224.3	46.0	127.0	70.0	85.0	123.0	81.0
AC005225.2	384.0	670.0	810.0	159.0	382.0	228.0
AC005225.4	2.0	10.0	28.0	36.0	26.0	24.0
AC005229.4	36.0	110.0	70.0	46.0	39.0	30.0
AC005256.1	36.0	79.0	52.0	15.0	0.0	14.0
AC005258.1	9.0	9.0	5.0	2.0	1.0	2.0
AC005261.1	974.0	2542.0	26.0	2514.0	64.0	1413.0
AC005261.4	7.0	23.0	19.0	23.0	15.0	16.0
AC005280.2	2.0	24.0	21.0	0.0	0.0	2.0
AC005306.1	1.0	0.0	1.0	0.0	1.0	1.0
AC005324.3	98.0	373.0	16.0	65.0	44.0	43.0
AC005326.1	5.0	2.0	10.0	1.0	0.0	2.0
AC005332.2	2.0	2.0	10.0	13.0	12.0	11.0
AC005332.3	1.0	1.0	70.0	1.0	1.0	1.0
AC005332.4	80.0	223.0	153.0	95.0	90.0	94.0
AC005332.5	82.0	2.0	288.0	3.0	1.0	86.0
AC005332.7	3.0	6.0	1.0	2.0	6.0	1.0
AC005336.1	2.0	0.0	0.0	3.0	0.0	1.0
AC005355.1	4.0	0.0	0.0	0.0	0.0	0.0
AC005363.2	2.0	3.0	2.0	0.0	0.0	4.0
AC005393.1	1.0	6.0	8.0	4.0	5.0	3.0
AC005393.2	1.0	6.0	8.0	4.0	5.0	3.0
AC005476.1	2.0	3.0	6.0	6.0	0.0	0.0
AC005476.2	16.0	76.0	20.0	0.0	0.0	16.0
AC005480.2	1.0	1.0	1.0	1.0	1.0	1.0
AC005519.1	6.0	7.0	12.0	8.0	2.0	4.0
AC005520.3	28.0	68.0	102.0	49.0	280.0	148.0
AC005520.5	1.0	7.0	6.0	5.0	4.0	1.0
AC005521.1	2.0	2.0	4.0	1.0	6.0	3.0
AC005532.1	42.0	219.0	126.0	0.0	38.0	0.0
AC005534.2	2.0	0.0	5.0	5.0	2.0	3.0
AC005540.1	2.0	27.0	1027.0	14.0	0.0	473.0
AC005562.1	500.0	1506.0	1090.0	1089.0	849.0	855.0
AC005586.1	63.0	212.0	104.0	47.0	43.0	5.0
AC005592.1	2.0	6.0	0.0	0.0	2.0	0.0
AC005609.5	32.0	88.0	144.0	95.0	142.0	180.0
AC005614.1	1.0	4.0	0.0	0.0	0.0	5.0
AC005614.3	1.0	4.0	0.0	0.0	0.0	5.0
AC005632.3	6.0	16.0	9.0	9.0	7.0	4.0
AC005632.4	2.0	6.0	2.0	2.0	1.0	0.0
AC005670.3	1433.0	2468.0	2912.0	568.0	857.0	1401.0
AC005674.2	21.0	24.0	57.0	0.0	0.0	48.0
AC005696.4	1.0	0.0	4.0	0.0	4.0	0.0
AC005722.3	2.0	11.0	0.0	0.0	4.0	0.0
AC005726.1	20.0	18.0	110.0	130.0	115.0	10.0
AC005726.2	6.0	8.0	25.0	13.0	15.0	9.0
AC005730.2	2.0	4.0	9.0	5.0	10.0	13.0
AC005730.3	2.0	0.0	4.0	0.0	0.0	0.0
AC005740.1	3.0	4.0	4.0	4.0	3.0	5.0
AC005740.4	10.0	23.0	16.0	13.0	12.0	0.0
AC005746.2	53.0	148.0	123.0	92.0	45.0	81.0
AC005775.1	49.0	0.0	0.0	0.0	72.0	0.0
AC005776.1	2.0	2.0	0.0	2.0	0.0	0.0
AC005785.1	132.0	36.0	495.0	707.0	697.0	15.0
AC005785.2	6.0	14.0	29.0	21.0	16.0	14.0
AC005786.3	8.0	15.0	14.0	103.0	14.0	8.0
AC005822.1	58.0	108.0	75.0	50.0	42.0	65.0
AC005828.1	9.0	14.0	2.0	13.0	18.0	5.0
AC005828.4	1.0	0.0	0.0	1.0	0.0	0.0
AC005828.6	10.0	6.0	21.0	5.0	7.0	6.0
AC005829.1	2.0	4.0	3.0	0.0	0.0	3.0
AC005829.2	4.0	12.0	5.0	6.0	6.0	8.0
AC005832.4	8.0	29.0	22.0	10.0	12.0	1.0
AC005837.1	3.0	16.0	3.0	2.0	8.0	4.0
AC005837.3	2.0	3.0	4.0	2.0	6.0	2.0
AC005838.1	7.0	28.0	0.0	0.0	0.0	0.0
AC005838.3	3.0	3.0	12.0	3.0	5.0	2.0
AC005839.1	43.0	188.0	203.0	9.0	153.0	68.0
AC005840.1	4.0	18.0	4.0	8.0	7.0	10.0
AC005840.2	26.0	7.0	42.0	75.0	23.0	56.0
AC005840.3	6.0	21.0	24.0	9.0	18.0	14.0
AC005841.1	6.0	19.0	10.0	15.0	12.0	13.0
AC005865.1	146.0	30.0	173.0	23.0	0.0	11.0
AC005899.5	1.0	1.0	1.0	1.0	1.0	9.0
AC005899.7	1.0	5.0	5.0	0.0	0.0	2.0
AC005899.8	2.0	6.0	7.0	4.0	0.0	0.0
AC005912.1	473.0	1257.0	876.0	642.0	596.0	684.0
AC005912.2	2.0	0.0	0.0	0.0	2.0	0.0
AC005943.1	61.0	45.0	168.0	112.0	210.0	7.0
AC005962.1	12.0	0.0	7.0	2.0	11.0	0.0
AC006001.3	186.0	968.0	981.0	763.0	747.0	584.0
AC006026.1	11.0	29.0	17.0	13.0	15.0	13.0
AC006030.1	3.0	7.0	4.0	4.0	4.0	2.0
AC006059.1	7.0	7.0	15.0	9.0	21.0	7.0
AC006059.2	17.0	180.0	145.0	76.0	89.0	80.0
AC006064.6	31.0	1977.0	460.0	62.0	73.0	885.0
AC006077.2	6.0	4.0	3.0	10.0	12.0	4.0
AC006111.3	2.0	0.0	0.0	0.0	0.0	0.0
AC006122.1	1.0	5.0	6.0	2.0	4.0	2.0
AC006127.1	1.0	1.0	1.0	1.0	1.0	1.0
AC006153.1	702.0	1855.0	1144.0	952.0	958.0	1148.0
AC006210.1	2.0	0.0	0.0	0.0	0.0	0.0
AC006213.3	98.0	33.0	51.0	83.0	38.0	31.0
AC006213.4	10.0	14.0	7.0	9.0	5.0	2.0
AC006213.6	9.0	48.0	75.0	10.0	30.0	22.0
AC006254.1	1.0	1.0	1.0	1.0	1.0	0.0
AC006273.1	3.0	0.0	5.0	1.0	0.0	4.0
AC006277.1	11.0	121.0	99.0	37.0	55.0	32.0
AC006330.1	3.0	10.0	25.0	22.0	18.0	5.0
AC006333.1	86.0	297.0	225.0	95.0	96.0	111.0
AC006359.4	1.0	2.0	2.0	3.0	3.0	3.0
AC006449.11	14.0	38.0	39.0	18.0	17.0	21.0
AC006449.12	21.0	21.0	29.0	52.0	42.0	33.0
AC006449.3	2.0	6.0	8.0	4.0	5.0	2.0
AC006449.5	21.0	62.0	29.0	52.0	42.0	33.0
AC006449.7	14.0	38.0	39.0	18.0	17.0	21.0
AC006449.8	1.0	1.0	0.0	0.0	2.0	1.0
AC006453.3	800.0	3137.0	2756.0	1384.0	1454.0	1165.0
AC006480.3	3.0	18.0	23.0	7.0	10.0	4.0
AC006483.2	2.0	0.0	3.0	2.0	0.0	0.0
AC006486.1	993.0	2899.0	2086.0	1559.0	1499.0	1660.0
AC006486.2	10.0	21.0	17.0	23.0	28.0	24.0
AC006504.1	32.0	75.0	128.0	65.0	70.0	44.0
AC006504.5	342.0	1855.0	1141.0	1315.0	472.0	396.0
AC006511.3	4.0	7.0	2.0	8.0	6.0	6.0
AC006511.4	3.0	43.0	26.0	10.0	21.0	24.0
AC006518.1	1.0	1.0	3.0	2.0	1.0	0.0
AC006518.2	1.0	1.0	1.0	1.0	1.0	0.0
AC006518.3	1.0	1.0	3.0	2.0	1.0	0.0
AC006518.4	1.0	1.0	1.0	1.0	1.0	0.0
AC006518.5	1.0	1.0	3.0	2.0	1.0	0.0
AC006518.6	1.0	1.0	1.0	1.0	1.0	0.0
AC006538.1	18.0	62.0	52.0	51.0	34.0	34.0
AC006538.2	812.0	2538.0	1826.0	1912.0	1639.0	1687.0
AC006538.3	1.0	0.0	0.0	0.0	0.0	2.0
AC006557.1	3.0	3.0	10.0	4.0	0.0	7.0
AC006557.4	4.0	8.0	1.0	18.0	6.0	1.0
AC006557.6	1.0	3.0	9.0	2.0	3.0	1.0
AC006967.3	1.0	0.0	0.0	0.0	0.0	0.0
AC006971.1	19.0	51.0	40.0	27.0	38.0	31.0
AC006978.2	88.0	13.0	169.0	4.0	157.0	10.0
AC007000.2	9.0	34.0	27.0	44.0	44.0	37.0
AC007029.2	2.0	3.0	0.0	0.0	1.0	2.0
AC007032.1	6.0	41.0	16.0	11.0	12.0	4.0
AC007038.1	8.0	38.0	61.0	25.0	20.0	20.0
AC007040.2	2870.0	7937.0	5162.0	3457.0	3923.0	3770.0
AC007066.1	1.0	3.0	0.0	3.0	3.0	2.0
AC007066.2	24.0	121.0	66.0	40.0	29.0	17.0
AC007114.1	36.0	179.0	144.0	79.0	101.0	91.0
AC007114.2	11.0	26.0	32.0	6.0	8.0	6.0
AC007160.1	2.0	9.0	6.0	4.0	5.0	8.0
AC007182.2	49.0	140.0	116.0	87.0	76.0	89.0
AC007191.1	23.0	65.0	82.0	24.0	51.0	16.0
AC007192.1	824.0	2509.0	1794.0	2854.0	2537.0	2762.0
AC007216.3	1.0	31.0	17.0	25.0	23.0	8.0
AC007216.4	10.0	1125.0	27.0	16.0	15.0	13.0
AC007229.1	2.0	10.0	4.0	12.0	4.0	0.0
AC007238.1	43.0	109.0	78.0	50.0	68.0	87.0
AC007240.3	39.0	123.0	128.0	13.0	27.0	37.0
AC007250.1	5.0	22.0	21.0	19.0	24.0	4.0
AC007255.1	37.0	82.0	85.0	35.0	35.0	40.0
AC007279.1	2.0	4.0	4.0	6.0	2.0	4.0
AC007318.1	4460.0	13146.0	8974.0	8073.0	7385.0	7541.0
AC007318.3	404.0	1078.0	771.0	687.0	601.0	582.0
AC007319.1	5425.0	13704.0	10630.0	5564.0	7385.0	6247.0
AC007325.3	46.0	113.0	95.0	52.0	63.0	51.0
AC007325.4	41.0	138.0	110.0	123.0	99.0	99.0
AC007342.7	11.0	31.0	24.0	45.0	25.0	21.0
AC007390.1	270.0	1089.0	156.0	789.0	43.0	491.0
AC007395.1	1.0	0.0	0.0	0.0	0.0	0.0
AC007405.2	1434.0	3992.0	2834.0	1773.0	1570.0	1262.0
AC007405.4	65.0	244.0	220.0	80.0	91.0	77.0
AC007448.3	1.0	0.0	2.0	1.0	0.0	0.0
AC007485.1	3.0	7.0	5.0	2.0	5.0	3.0
AC007485.2	116.0	390.0	363.0	166.0	4.0	162.0
AC007497.1	2.0	0.0	3.0	0.0	0.0	2.0
AC007541.1	25.0	101.0	66.0	47.0	36.0	28.0
AC007546.1	8.0	16.0	27.0	24.0	1.0	20.0
AC007560.1	14.0	33.0	30.0	30.0	35.0	32.0
AC007566.1	152.0	90.0	177.0	321.0	170.0	300.0
AC007599.3	1.0	1.0	1.0	1.0	0.0	1.0
AC007613.1	29.0	163.0	13.0	0.0	86.0	64.0
AC007622.2	13.0	13.0	18.0	19.0	13.0	11.0
AC007663.3	2.0	9.0	3.0	6.0	1.0	0.0
AC007663.4	3.0	24.0	19.0	14.0	19.0	14.0
